#Code_commune_INSEE;Nom_de_la_commune;Code_postal;Libellé_d_acheminement;Ligne_5;url_rues
1001;L ABERGEMENT CLEMENCIAT;1400;L ABERGEMENT CLEMENCIAT;;https://adresse.data.gouv.fr/api/downloads/1001/street-list?from=api-depot
1002;L ABERGEMENT DE VAREY;1640;L ABERGEMENT DE VAREY;;https://adresse.data.gouv.fr/api/downloads/1002/street-list?from=api-depot
1004;AMBERIEU EN BUGEY;1500;AMBERIEU EN BUGEY;;https://adresse.data.gouv.fr/api/downloads/1004/street-list?from=api-depot
1005;AMBERIEUX EN DOMBES;1330;AMBERIEUX EN DOMBES;;https://adresse.data.gouv.fr/api/downloads/1005/street-list?from=api-depot
1006;AMBLEON;1300;AMBLEON;;https://adresse.data.gouv.fr/api/downloads/1006/street-list?from=api-depot
1007;AMBRONAY;1500;AMBRONAY;;https://adresse.data.gouv.fr/api/downloads/1007/street-list?from=api-depot
1008;AMBUTRIX;1500;AMBUTRIX;;https://adresse.data.gouv.fr/api/downloads/1008/street-list?from=api-depot
1009;ANDERT ET CONDON;1300;ANDERT ET CONDON;;https://adresse.data.gouv.fr/api/downloads/1009/street-list?from=api-depot
1010;ANGLEFORT;1350;ANGLEFORT;;https://adresse.data.gouv.fr/api/downloads/1010/street-list?from=api-depot
1011;APREMONT;1100;APREMONT;;https://adresse.data.gouv.fr/api/downloads/1011/street-list?from=api-depot
1012;ARANC;1110;ARANC;;https://adresse.data.gouv.fr/api/downloads/1012/street-list?from=api-depot
1013;ARANDAS;1230;ARANDAS;;https://adresse.data.gouv.fr/api/downloads/1013/street-list?from=api-depot
1014;ARBENT;1100;ARBENT;;https://adresse.data.gouv.fr/api/downloads/1014/street-list?from=api-depot
1015;ARBOYS EN BUGEY;1300;ARBOYS EN BUGEY;ARBIGNIEU;https://adresse.data.gouv.fr/api/downloads/1015/street-list?from=api-depot
1015;ARBOYS EN BUGEY;1300;ARBOYS EN BUGEY;ST BOIS;https://adresse.data.gouv.fr/api/downloads/1015/street-list?from=api-depot
1016;ARBIGNY;1190;ARBIGNY;;https://adresse.data.gouv.fr/api/downloads/1016/street-list?from=api-depot
1017;ARGIS;1230;ARGIS;;https://adresse.data.gouv.fr/api/downloads/1017/street-list?from=api-depot
1019;ARMIX;1510;ARMIX;;https://adresse.data.gouv.fr/api/downloads/1019/street-list?from=api-depot
1021;ARS SUR FORMANS;1480;ARS SUR FORMANS;;https://adresse.data.gouv.fr/api/downloads/1021/street-list?from=api-depot
1022;ARTEMARE;1510;ARTEMARE;;https://adresse.data.gouv.fr/api/downloads/1022/street-list?from=api-depot
1023;ASNIERES SUR SAONE;1570;ASNIERES SUR SAONE;;https://adresse.data.gouv.fr/api/downloads/1023/street-list?from=api-depot
1024;ATTIGNAT;1340;ATTIGNAT;;https://adresse.data.gouv.fr/api/downloads/1024/street-list?from=api-depot
1025;BAGE DOMMARTIN;1380;BAGE DOMMARTIN;BAGE LA VILLE;https://adresse.data.gouv.fr/api/downloads/1025/street-list?from=api-depot
