Code Postal / CEDEX;Libellé;Code INSEE;Type de code;Nom de la commune;Nom du département;NOM EPCI;Nom de la région
75847;PARIS CEDEX 17;75117;Code CEDEX;;;;
3204;VICHY CEDEX;3310;Code CEDEX;Vichy;ALLIER;CA Vichy Communauté;AUVERGNE-RHONE-ALPES
6804;CAGNES SUR MER CEDEX;6027;Code CEDEX;Cagnes-sur-Mer;ALPES-MARITIMES;Métropole Nice Côte d'Azur;PROVENCE-ALPES-COTE D'AZUR
6804;CAGNES SUR MER CEDEX;6123;Code CEDEX;Saint-Laurent-du-Var;ALPES-MARITIMES;Métropole Nice Côte d'Azur;PROVENCE-ALPES-COTE D'AZUR
13092;AIX EN PROVENCE CEDEX 2;13001;Code CEDEX;Aix-en-Provence;BOUCHES-DU-RHONE;Métropole d'Aix-Marseille-Provence;PROVENCE-ALPES-COTE D'AZUR
27004;EVREUX CEDEX;27299;Code CEDEX;Gravigny;EURE;CA Evreux Portes de Normandie;NORMANDIE
27004;EVREUX CEDEX;27020;Code CEDEX;Arnières-sur-Iton;EURE;CA Evreux Portes de Normandie;NORMANDIE
27004;EVREUX CEDEX;27229;Code CEDEX;Évreux;EURE;CA Evreux Portes de Normandie;NORMANDIE
27004;EVREUX CEDEX;27602;Code CEDEX;Saint-Sébastien-de-Morsent;EURE;CA Evreux Portes de Normandie;NORMANDIE
30202;BAGNOLS SUR CEZE CEDEX;30028;Code CEDEX;Bagnols-sur-Cèze;GARD;CA du Gard Rhodanien;OCCITANIE
31671;LABEGE CEDEX;31169;Code CEDEX;Escalquens;HAUTE-GARONNE;CA du Sicoval;OCCITANIE
31671;LABEGE CEDEX;31284;Code CEDEX;Lauzerville;HAUTE-GARONNE;CA du Sicoval;OCCITANIE
31671;LABEGE CEDEX;31506;Code CEDEX;Saint-Orens-de-Gameville;HAUTE-GARONNE;Toulouse Métropole;OCCITANIE
31671;LABEGE CEDEX;31249;Code CEDEX;Labastide-Beauvoir;HAUTE-GARONNE;CA du Sicoval;OCCITANIE
31671;LABEGE CEDEX;31254;Code CEDEX;Labège;HAUTE-GARONNE;CA du Sicoval;OCCITANIE
36105;ISSOUDUN CEDEX;36052;Code CEDEX;Chouday;INDRE;CC Champagne Boischauts;CENTRE-VAL DE LOIRE
36105;ISSOUDUN CEDEX;36098;Code CEDEX;Lizeray;INDRE;CC Champagne Boischauts;CENTRE-VAL DE LOIRE
36105;ISSOUDUN CEDEX;36088;Code CEDEX;Issoudun;INDRE;CC du Pays d'Issoudun;CENTRE-VAL DE LOIRE
42027;ST ETIENNE CEDEX 1;42218;Code CEDEX;Saint-Étienne;LOIRE;Saint-Etienne Métropole;AUVERGNE-RHONE-ALPES
48004;MENDE CEDEX;48095;Code CEDEX;Mende;LOZERE;CC Coeur de Lozère;OCCITANIE
67213;OBERNAI CEDEX;67504;Code CEDEX;Valff;BAS-RHIN;CC du Pays de Barr;GRAND EST
67213;OBERNAI CEDEX;67368;Code CEDEX;Ottrott;BAS-RHIN;CC des Portes de Rosheim;GRAND EST
67213;OBERNAI CEDEX;67348;Code CEDEX;Obernai;BAS-RHIN;CC du Pays de Sainte-Odile;GRAND EST
67213;OBERNAI CEDEX;67052;Code CEDEX;Bœrsch;BAS-RHIN;CC des Portes de Rosheim;GRAND EST
67213;OBERNAI CEDEX;67045;Code CEDEX;Bischoffsheim;BAS-RHIN;CC des Portes de Rosheim;GRAND EST
67213;OBERNAI CEDEX;67329;Code CEDEX;Niedernai;BAS-RHIN;CC du Pays de Sainte-Odile;GRAND EST
69437;LYON CEDEX 03;69383;Code CEDEX;;;;
69678;BRON CEDEX;69029;Code CEDEX;Bron;RHONE;Métropole de Lyon;AUVERGNE-RHONE-ALPES
97861;ST PAUL CEDEX;97415;Code CEDEX;Saint-Paul;LA REUNION;CA Territoire de la Côte Ouest (Tco);LA REUNION
97861;ST PAUL CEDEX;97413;Code CEDEX;Saint-Leu;LA REUNION;CA Territoire de la Côte Ouest (Tco);LA REUNION
79301;BRESSUIRE CEDEX;79050;Code CEDEX;Bretignolles;DEUX-SEVRES;CA du Bocage Bressuirais;NOUVELLE-AQUITAINE
79301;BRESSUIRE CEDEX;79049;Code CEDEX;Bressuire;DEUX-SEVRES;CA du Bocage Bressuirais;NOUVELLE-AQUITAINE
89094;SENS CEDEX;89387;Code CEDEX;Sens;YONNE;CA du Grand Sénonais;BOURGOGNE-FRANCHE-COMTE
92789;ISSY LES MOULINEAUX CEDEX 9;92040;Code CEDEX;Issy-les-Moulineaux;HAUTS-DE-SEINE;Métropole du Grand Paris;ILE-DE-FRANCE
6082;NICE CEDEX 1;6088;Code CEDEX;Nice;ALPES-MARITIMES;Métropole Nice Côte d'Azur;PROVENCE-ALPES-COTE D'AZUR
6631;ANTIBES CEDEX;6004;Code CEDEX;Antibes;ALPES-MARITIMES;CA de Sophia Antipolis;PROVENCE-ALPES-COTE D'AZUR
13256;MARSEILLE CEDEX 20;13206;Code CEDEX;;;;
13256;MARSEILLE CEDEX 20;13213;Code CEDEX;;;;
13256;MARSEILLE CEDEX 20;13204;Code CEDEX;;;;
33008;BORDEAUX CEDEX;33063;Code CEDEX;Bordeaux;GIRONDE;Bordeaux Métropole;NOUVELLE-AQUITAINE
33212;LANGON CEDEX;33357;Code CEDEX;Roaillan;GIRONDE;CC du Sud Gironde;NOUVELLE-AQUITAINE
33212;LANGON CEDEX;33227;Code CEDEX;Langon;GIRONDE;CC du Sud Gironde;NOUVELLE-AQUITAINE
33212;LANGON CEDEX;33438;Code CEDEX;Saint-Maixant;GIRONDE;CC du Sud Gironde;NOUVELLE-AQUITAINE
33212;LANGON CEDEX;33432;Code CEDEX;Saint-Loubert;GIRONDE;CC du Sud Gironde;NOUVELLE-AQUITAINE
33212;LANGON CEDEX;33279;Code CEDEX;Mazères;GIRONDE;CC du Sud Gironde;NOUVELLE-AQUITAINE
33212;LANGON CEDEX;33533;Code CEDEX;Toulenne;GIRONDE;CC du Sud Gironde;NOUVELLE-AQUITAINE
33212;LANGON CEDEX;33343;Code CEDEX;Pujols-sur-Ciron;GIRONDE;CC Convergence Garonne;NOUVELLE-AQUITAINE
39007;LONS LE SAUNIER CEDEX;39300;Code CEDEX;Lons-le-Saunier;JURA;CA ECLA  (Espace Communautaire Lons Agglomération);BOURGOGNE-FRANCHE-COMTE
39007;LONS LE SAUNIER CEDEX;39362;Code CEDEX;Montmorot;JURA;CA ECLA  (Espace Communautaire Lons Agglomération);BOURGOGNE-FRANCHE-COMTE
53022;LAVAL CEDEX 9;53130;Code CEDEX;Laval;MAYENNE;CA Laval Agglomération;PAYS DE LA LOIRE
76125;LE GRAND QUEVILLY CEDEX;76322;Code CEDEX;Le Grand-Quevilly;SEINE-MARITIME;Métropole Rouen Normandie;NORMANDIE
79182;CHAURAY CEDEX;79081;Code CEDEX;Chauray;DEUX-SEVRES;CA du Niortais;NOUVELLE-AQUITAINE
81205;MAZAMET CEDEX;81163;Code CEDEX;Mazamet;TARN;CA de Castres Mazamet;OCCITANIE
81205;MAZAMET CEDEX;81021;Code CEDEX;Aussillon;TARN;CA de Castres Mazamet;OCCITANIE
2007;LAON CEDEX;2046;Code CEDEX;Barenton-Bugny;AISNE;CC du Pays de la Serre;HAUTS-DE-FRANCE
2007;LAON CEDEX;2157;Code CEDEX;Chambry;AISNE;CA du Pays de Laon;HAUTS-DE-FRANCE
2007;LAON CEDEX;2413;Code CEDEX;Laval-en-Laonnois;AISNE;CA du Pays de Laon;HAUTS-DE-FRANCE
