nom;type;tournee;number_count;numbers
Allée Bonèze;voie;;13;1,2,3,4,6,7,8,9,10,11,12,13,15
Allee de Keriel;voie;;3;3,4,5
Allée de Ty Scoul;voie;;9;1,2,3,4,5,6,7,8,10
Allée des Chênes;voie;;7;1,3,5,7,9,11,13
Allée du Stang;voie;;8;1,2,3,4,6,8,10,12
Allée Paul Cézanne;voie;;8;1,2,3,4,5,6,7,8
Ar Rhu;voie;;4;1,2,3,4
Belle Vue;voie;;12;1,2,3,4,5,6,7,8,10,12,14,16
Botforn;voie;;8;1,2,3,4,5,6,7,8
Chemin des Douaniers;voie;;7;1,3,5,7,9,11,15
Chemin du Helles;voie;;4;1,2,3,4
Chemin du Vieux Puits;voie;;5;2,4,6,8,10
Clos de Korniguelou;voie;;9;1,2,3,4,5,6,7,8,10
Coat Dero Bras;voie;;8;1,2,3,4,5,6,7,8
Coat Dero Lezivit;voie;;3;1,2,3
Coat Dero Vian;voie;;5;1,2,3,4,5
Corn Lan;voie;;2;1,2
Corroach;voie;;5;1,2,3,4,5
Cruguel;voie;;4;1,2,3,4
Dinaou;voie;;2;1,2
froutguen cosquer;voie;;1;1
Froutguen;voie;;4;1,2,3,5
Gorrequer Nevez;voie;;16;1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17
Gorrequer Roscancel;voie;;1;1
Gorrequer;voie;;7;1,2,3,4,5,6,7
Hameau de Croas Hir;voie;;15;1,2,3,4,5,6,7,8,9,10,11,12,14,16,18
Hent Ale Nevez;voie;;8;1,2,3,4,5,6,7,9
Hent Ar Martoloded;voie;;7;1,2,3,4,5,6,8
Hent ar Park Bras;voie;;7;2,3,4,6,8,10,12
Hent Ar Ru Vian;voie;;16;1,3,4,5,6,7,8,9,10,12,14,16,18,20,22,24
Hent Ar Stankou;voie;;7;1,3,4,5,6,8,10
Hent Ar Vourc H Vraz;voie;;20;1,2,4,5,6,7,8,9,10,11,13,14,15,16,17,19,20,21,24,26
Hent Avel Mor;voie;;8;1,2,3,4,5,6,7,8
Hent Bod Enez;voie;;6;1,2,3,4,5,8
Hent Kan Ar Mor;voie;;13;1,2,3,4,5,6,7,8,9,10,11,12,14
Hent Kelen;voie;;27;1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,26,27,29,31,33,35,37
Hent Kerbenoen Nevez;voie;;16;1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,18
Hent Kerbohis;voie;;14;1,2,4,5,7,8,9,11,12,14,15,17,19,21
Hent Kergano;voie;;3;1,2,3
hent kergroas;voie;;1;1
Hent Kergulan;voie;;9;2,3,4,5,6,7,9,13,15
Hent Kernavriou;voie;;7;1,2,3,4,5,7,8
Hent Kerrien Allan;voie;;12;1,2,3,4,5,6,7,8,9,11,13,15
Hent Korniguelou;voie;;6;1,2,3,4,5,7
Hent Léoc;voie;;8;1,3,4,5,7,9,11,13
Hent Menez Bereven;voie;;12;1,2,3,4,5,6,7,8,9,10,11,12
HENT PARK LAORANS;voie;;4;1,2,3,4
Hent Peni Conan;voie;;5;1,2,4,5,6
Hent Perien Bonis;voie;;22;1,2,4,5,7,9,11,13,15,17,21,23,25,27,29,31,33,35,37,39,41,43
HENT TIRINOU;voie;;20;1,2,3,4,6,7,8,9,10,12,14,15,17,18,19,20,21,24,26,28
Hent Ty Plouz;voie;;4;1,2,3,5
Hentig Ar Mor;voie;;6;1,2,3,4,6,8
Impasse Anatole le Braz;voie;;4;1,2,4,6
Impasse Andre Suarez;voie;;4;2,4,6,8
Impasse Anita Conti;voie;;8;1,2,3,4,6,8,10,12
impasse Anjela Duval;voie;;5;1,2,3,4,6
Impasse Ar Vigouden;voie;;2;1,3
Impasse Auguste Brizeux;voie;;16;1,2,3,4,5,6,7,8,9,11,13,15,17,19,21,23
Impasse Augustine Bernard;voie;;10;1,2,3,4,5,6,7,8,9,10
Impasse Bel Espoir;voie;;7;2,3,5,7,9,11,13
Impasse de Beg-An-Istr;voie;;12;1,2,3,4,5,6,7,8,9,10,11,12
Impasse de Bereven;voie;;5;2,3,4,5,6
Impasse de Bonèze;voie;;8;1,2,3,4,6,8,10,12
Impasse de Kerdreanton;voie;;9;1,2,3,4,5,6,7,8,10
Impasse de Kerfoz;voie;;6;1,2,3,4,5,6
Impasse de Kergaradec;voie;;5;1,2,3,4,5
Impasse de Kergroas;voie;;5;2,4,6,8,10
Impasse de l’Église;voie;;2;2,4
Impasse de l’Océan;voie;;6;1,3,5,7,9,11
Impasse de l’Odet;voie;;8;1,2,4,6,8,10,12,14
Impasse de la Chataigneraie;voie;;7;1,2,3,4,5,6,7
Impasse de la Fontaine;voie;;10;1,2,3,4,5,6,7,8,10,12
impasse de la Forge;voie;;6;1,2,3,4,5,6
Impasse de Menez Bras;voie;;14;1,2,3,4,5,6,7,8,9,10,11,12,13,14
Impasse de Ménez Reun;voie;;4;3,4,6,7
Impasse de Pen Ar Steir;voie;;25;1,2,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20,22,23,24,25,27,29,31
Impasse des Cerisiers;voie;;14;2,3,4,5,6,7,8,9,10,11,12,13,14,15
Impasse des Chardonnerets;voie;;10;1,2,3,4,5,6,7,8,10,12
Impasse des Chataigniers;voie;;13;1,2,3,4,5,6,7,8,9,10,11,12,13
