nom;nom_bre;tournee;type;number_count;numbers
Allée du Menhir;;213;voie;2;1,3
Chemin de Gorréquer;;212;voie;6;1,2,3,4,5,7
Chemin de Kerloc’h;;213;voie;24;1,2,3,5,6,7,8,9,10,12,13,14,15,16,18,19,20,21,22,24,26,28,30,32
Chemin de Park Minn;;212;voie;14;1,3,4,5,6,7,8,9,10,12,15,17,19,21
Chemin du Ménez;;213;voie;8;1,3,5,7,9,11,13,15
Chemin du Menhir Kerloc'h;;213;voie;8;2,7,9,11,13,15,17,19
Chemin du Renard;;213;voie;1;2
Chemin du Ster;;212;voie;21;1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,24
Chemin Mejoù Kerloc’h;;213;voie;7;7,9,11,13,15,17,19
Cité de Kerloc’h;;213;voie;12;1,2,3,4,5,6,7,8,9,10,11,13
Corroarc'h;;212;voie;4;4,6,8,10
Croas Ver;;212;voie;2;1,3
Guerveur;;211;voie;38;1,2,3,5,7,8,9,10,11,12,13,14,15,16,20,22,24,26,28,30,40,42,44,46,48,50,52,54,56,58,60,68,70,72,74,76,78,80
Hent An Aod;;213;voie;13;1,3,5,6,7,8,9,10,11,12,13,14,15
Hent ar Veil Dour;;212;voie;5;1,2,4,6,8
Hent Avel Su;;213;voie;6;1,2,3,4,6,8
Hent Avel Viz;;213;voie;11;1,2,3,4,5,6,7,8,9,10,12
Hent Dous;;212;voie;8;2,4,5,6,7,8,9,11
Hent Guevar;;213;voie;7;1,2,3,4,6,7,8
Hent Gwalarn;;213;voie;15;1,2,3,4,5,6,7,8,9,10,11,12,13,14,16
Hent Kerleusquenet;;211;voie;20;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,23,25
Hent Kerniviel;;212;voie;10;1,2,3,4,5,6,7,12,14,16
Hent Kornog;;213;voie;9;1,2,3,4,5,6,8,10,12
Hent Peniskin;;212;voie;7;2,3,4,5,7,9,11
Hent Retter;;213;voie;6;1,2,4,5,6,8
Impasse Coat Braz;;212;voie;5;1,2,3,5,7
Impasse de Forestou;;212;voie;5;1,3,5,7,9
Impasse de Kerandraon;;213;voie;5;1,2,3,4,5
Impasse de Kerlano;;213;voie;3;2,4,6
Impasse de l’Église;;213;voie;3;2,4,6
Impasse de la Palue;;213;voie;3;3,5,7
Impasse de la Roche;;213;voie;2;1,3
Impasse de Pen Duick;;207;voie;7;1,3,5,9,11,13,15
Impasse de Penfret;;213;voie;4;1,3,5,7
Impasse de Pratareun;Impasse de Prat ar Run;212;voie;6;1,3,5,7,9,11
Impasse de Reissant;;213;voie;8;1,2,3,4,5,6,7,9
Impasse des Albizias;;212;voie;5;1,2,3,4,6
Impasse des Boutons d’Or;;213;voie;5;1,2,3,4,6
Impasse des Camélias;;212;voie;6;3,4,5,6,7,8
Impasse des Capucines;;213;voie;6;1,2,4,6,8,9
Impasse des Embruns;;213;voie;4;1,2,3,4
Impasse des Fusains;;213;voie;17;1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,18,20
Impasse des Lilas;;213;voie;8;1,2,3,4,6,8,10,12
Impasse des Mésanges;;213;voie;10;1,2,3,5,6,8,9,11,13,15
Impasse des Mimosas;;212;voie;7;1,2,3,4,5,6,7
Impasse des Misainiers;;213;voie;8;1,3,4,5,7,9,11,13
Impasse des Myosotis;;213;voie;4;1,3,4,5
