nom;type;number_count;numbers
Allee Blaise Pascal;voie;4;1,2,3,4
Allee de la Chataigneraie;voie;8;2,4,6,8,10,12,14,16
Allee de Prat Guen;voie;21;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Allee des Albizias;voie;5;1,3,4,5,7
Allée des Chataigniers;voie;6;1,2,3,4,6,8
Allée des Genêts;voie;7;1,2,3,4,5,7,11
Allée des Mandarins;voie;4;1,2,3,4
Allée Descartes;voie;4;1,2,3,5
Allee Diderot;voie;9;1,2,3,4,5,6,7,8,9
Allée du Ruisseau;voie;9;1,2,3,4,5,6,7,8,9
Allee Jean de la Fontaine;voie;4;1,2,3,4
Allée Julien Gracq;voie;6;1,2,3,4,5,6
Allée Maria Le Maréchal;voie;6;1,2,3,4,6,8
Allée Olympe de Gouges;voie;3;1,3,5
Avenue de Bantry;voie;27;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20,21,22,23,24,25,26,28,32
Avenue de Kerarthur;voie;27;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,24,26,28,30,32
Avenue de Menez-Bihan;voie;39;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,33,35,37,39,41,43,47,49,51,53,55
Avenue de Schleiden;voie;30;2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Avenue de Trébéhoret;voie;32;1,2,3,4,5,6,7,8,9,10,11,12,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,34,36,38
Avenue du Douric;voie;55;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,56
